ranking,word,word count,probability
271,#Freedom,6,0.0006511123168746609
272,#Capitalism,6,0.0006511123168746609
273,#ponder,6,0.0006511123168746609
274,happened,6,0.0006511123168746609
275,mail,6,0.0006511123168746609
276,#FTIL,6,0.0006511123168746609
277,democracy,6,0.0006511123168746609
278,@loveenatandon:,6,0.0006511123168746609
279,When,6,0.0006511123168746609
280,celebrates,6,0.0006511123168746609
281,Just,6,0.0006511123168746609
282,@CN…,6,0.0006511123168746609
283,@David_Cameron,6,0.0006511123168746609
284,@KejriwalFirSe1,6,0.0006511123168746609
285,prison,6,0.0006511123168746609
286,election,6,0.0006511123168746609
287,MLA,6,0.0006511123168746609
288,#Public,6,0.0006511123168746609
289,d,6,0.0006511123168746609
290,@rahuludani1:,6,0.0006511123168746609
291,release,6,0.0006511123168746609
292,http://t.co/PwR…,6,0.0006511123168746609
293,matter,6,0.0006511123168746609
294,#Democr…,6,0.0006511123168746609
295,friendship,6,0.0006511123168746609
296,March,6,0.0006511123168746609
297,ever,6,0.0006511123168746609
298,#System,6,0.0006511123168746609
299,oldest,6,0.0006511123168746609
300,@anjali_damania,5,0.0005425935973955507
301,@UNDPasiapac,5,0.0005425935973955507
302,#China,5,0.0005425935973955507
303,power,5,0.0005425935973955507
304,#undp4youth,5,0.0005425935973955507
305,?,5,0.0005425935973955507
306,real,5,0.0005425935973955507
307,@iQ_Abhishek,5,0.0005425935973955507
308,https://t.co/rsuT6qpbS7,5,0.0005425935973955507
309,party,5,0.0005425935973955507
310,Bhutanese,5,0.0005425935973955507
311,present,5,0.0005425935973955507
312,minister,5,0.0005425935973955507
313,@Vidyut.,5,0.0005425935973955507
314,#vote,5,0.0005425935973955507
315,road,5,0.0005425935973955507
316,man,5,0.0005425935973955507
317,#HumanRights,5,0.0005425935973955507
318,sir,5,0.0005425935973955507
319,#un4youth,5,0.0005425935973955507
320,@Noella_Richard:,5,0.0005425935973955507
321,controlled.,5,0.0005425935973955507
322,#IdeaOfIndia,5,0.0005425935973955507
323,@IsraelMFA:,5,0.0005425935973955507
324,#StopMerg…,5,0.0005425935973955507
325,wear,5,0.0005425935973955507
326,Idea,5,0.0005425935973955507
327,#Pluralism,5,0.0005425935973955507
328,@UNDP,5,0.0005425935973955507
329,#youthnow,5,0.0005425935973955507
330,nothing,5,0.0005425935973955507
331,Everything,5,0.0005425935973955507
332,#india,5,0.0005425935973955507
333,beyond,5,0.0005425935973955507
334,Nope.,5,0.0005425935973955507
335,better,5,0.0005425935973955507
336,democratic,5,0.0005425935973955507
337,rather,5,0.0005425935973955507
338,must,5,0.0005425935973955507
